"protein_id","n_valid","loess_corr","loess_mae_z","loess_converged","rank","EntrezGeneSymbol","TargetFullName","Target","UniProt"
"X3326.58",146,0.987054055200552,0.183448849435288,TRUE,28,"CADM1","Cell adhesion molecule 1","Nectin-like protein 2","Q9BY67"
"X20229.67",144,0.98703360571068,0.201787072994893,TRUE,29,"TM2D1","TM2 domain-containing protein 1","TM2D1","Q9BX74"
"X19438.68",146,0.986926793902256,0.247107591692403,TRUE,30,"SYF2","Pre-mRNA-splicing factor SYF2","SYF2","O95926"
"X19564.61",144,0.98563886549851,0.26308073056777,TRUE,31,"IRF4","Interferon regulatory factor 4","IRF4","Q15306"
"X8246.9",146,0.98544593515844,0.290878544861511,TRUE,32,"PCSK9","Proprotein convertase subtilisin/kexin type 9","PCSK9","Q8NBP7"
"X3630.27",146,0.984882900323552,0.297929487578466,TRUE,33,"CADM3","Cell adhesion molecule 3","Nectin-like protein 1","Q8N126"
"X10801.11",146,0.984570531682279,0.179638538232109,TRUE,34,"EFNA2","Ephrin-A2","Ephrin-A2","O43921"
"X20057.177",145,0.984465576055099,0.178866153677359,TRUE,35,"ASF1B","Histone chaperone ASF1B","ASF1B","Q9NVP2"
"X21891.31",146,0.984292870667813,0.26311282696903,TRUE,36,"FBLN7","Fibulin-7","FBLN7","Q53RD9"
"X3232.28",145,0.983898715440305,0.217419065919383,TRUE,37,"ACP5","Tartrate-resistant acid phosphatase type 5","TrATPase","P13686"
"X25099.4",146,0.983402041579737,0.202441654388991,TRUE,38,"CADPS2","Calcium-dependent secretion activator 2","CAPS2","Q86UW7"
"X5467.15",146,0.983367333952929,0.259240330870193,TRUE,39,"HSP90AB1","Heat shock protein HSP 90-beta","HSP 90b","P08238"
"X7006.4",144,0.983074554757493,0.208911051431725,TRUE,40,"COL25A1","Collagen alpha-1(XXV) chain","COPA1","Q9BXS0"
"X17776.15",145,0.982717692122968,0.116977076437445,TRUE,41,"PECR","Peroxisomal trans-2-enoyl-CoA reductase","PECR","Q9BY49"
"X6907.17",143,0.982700737116872,0.283261007984304,TRUE,42,"TMCO5A","Transmembrane and coiled-coil domain-containing protein 5A","TMC5A","Q8N6Q1"
"X9842.2",143,0.982507587775012,0.278889414337224,TRUE,43,"CTNNB1","Catenin beta-1","b-Catenin","P35222"
"X24938.7",146,0.982445653641023,0.183073681232624,TRUE,44,"AP2B1","AP-2 complex subunit beta-1","AP2B1","P63010"
"X11204.80",144,0.982250589838302,0.170979248828558,TRUE,45,"CXADR","Coxsackievirus and adenovirus receptor","CXAR","P78310"
"X22984.10",144,0.981732058127827,0.169785377607512,TRUE,46,"EIF4A2","Eukaryotic initiation factor 4A-II","IF4A2","Q14240"
"X2714.78",145,0.981579936736393,0.257882540586827,TRUE,47,"AIMP1","Endothelial monocyte-activating polypeptide 2","EMAP-2","Q12904"
"X8891.7",145,0.981520921828067,0.175813678145997,TRUE,48,"CPVL","Probable serine carboxypeptidase CPVL","CPVL","Q9H3G5"
"X10956.82",143,0.981181946160255,0.116666456788714,TRUE,49,"GCSH","Glycine cleavage system H protein, mitochondrial","GCSH","P23434"
"X16900.29",146,0.981173040658057,0.189048657006128,TRUE,50,"MDGA1","MAM domain-containing glycosylphosphatidylinositol anchor protein 1","MDGA1","Q8NFP4"
"X8222.49",145,0.980619407362499,0.323571817644243,TRUE,51,"CDHR3","Cadherin-related family member 3","CDHR3","Q6ZTQ4"
"X17327.3",144,0.980542330780377,0.157587132759904,TRUE,52,"CNPY3","Protein canopy homolog 3","CNPY3","Q9BT09"
"X3796.79",146,0.980390190853383,0.186758567605063,TRUE,53,"ANGPTL4","Angiopoietin-related protein 4","ANGL4","Q9BY76"
"X13044.5",146,0.979761597167858,0.315115525182762,TRUE,54,"TSG101","Tumor susceptibility gene 101 protein","TS101","Q99816"
"X6550.4",146,0.979472366944456,0.331545799568757,TRUE,55,"ICAM4","Intercellular adhesion molecule 4","ICAM4","Q14773"
"X13513.174",145,0.979454131022727,0.255880628751375,TRUE,56,"PIAS3","E3 SUMO-protein ligase PIAS3","PIAS3","Q9Y6X2"
"X7898.29",146,0.979082870243609,0.34842573764836,TRUE,57,"MDM1","Nuclear protein MDM1","MDM1","Q8TC05"
"X3879.50",144,0.979059233029337,0.186958530895824,TRUE,58,"CDC37","Hsp90 co-chaperone Cdc37","CDC37","Q16543"
"X10030.8",144,0.97893865279726,0.149835922327765,TRUE,59,"MUTYH","Adenine DNA glycosylase","MutY homolog","Q9UIF7"
"X17671.58",135,0.978585418084346,0.156541426581434,TRUE,60,"ING4","Inhibitor of growth protein 4","ING4","Q9UNL4"
"X24669.12",146,0.978211323170426,0.177072153627478,TRUE,61,"DNAJC5B","DnaJ homolog subfamily C member 5B","DNJ5B","Q9UF47"
"X21747.8",145,0.978084100835969,0.256381141016298,TRUE,62,"UBE2N|UBE2V1","UBE2N (Ubc13)/Uev1a Complex","UBE2N/UB2V1 Complex","P61088|Q13404"
"X21328.2",146,0.978006933812556,0.228818250474861,TRUE,63,"SYT1","Synaptotagmin-1","SYT1","P21579"
"X11279.42",146,0.977883528917238,0.24929255260703,TRUE,64,"GABBR1","Gamma-aminobutyric acid type B receptor subunit 1","GABR1","Q9UBS5"
"X24447.26",145,0.977584398048181,0.223582892067589,TRUE,65,"FAM221A","Protein FAM221A","F221A","A4D161"
"X2711.6",146,0.977413047753838,0.199695734271027,TRUE,66,"CNTFR","Ciliary neurotrophic factor receptor subunit alpha","CNTFR alpha","P26992"
"X19154.41",146,0.977355201709158,0.309341031572838,TRUE,67,"SERPINE2","Glia-derived nexin","Protease nexin I","P07093"
